Energy_mean;Energy_mean_ci;cobertura;Nodes_mean;Lambdas_mean;Lambda_ci;avg_lambda_usage;Band_Block_Mbps;Band_Block_Mbps_ci;Split_E;Split_I;Split_D;Split_B;RRH Bloqueio;Solver
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
310.0;3938.9234682939496;0.5;0.5;0.5;1.249019925591275;0.0983;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.023388028144836426
620.0;0.0;1.0;1.0;1.0;0.20816998759854582;0.27851666666666663;0.0;0.0;1.4166666666666665;0.0;0.0;0.0;0.0;0.07034756739934285
620.0;0.0;1.0;1.0;1.0;1.1241179330321474;0.38337;0.0;0.0;1.95;0.0;0.0;0.0;0.0;0.15374550819396973
620.0;0.0;1.0;1.0;1.0;0.11354726596284241;0.5808636363636364;0.0;0.0;2.9545454545454546;0.0;0.0;0.0;0.0;0.44299138676036487
620.0;0.0;1.0;1.0;1.0;0.237908557255481;0.636609523809524;0.0;0.0;3.238095238095238;0.0;0.0;0.0;0.0;0.37905902663866675
620.0;0.0;1.0;1.0;1.0;0.11354726596284312;0.5808636363636364;0.0;0.0;2.9545454545454546;0.0;0.0;0.0;0.0;0.2616917183904937
620.0;0.0;1.0;1.0;1.0;0.4000129173462258;0.6675405228758169;0.0;0.0;3.395424836601307;0.0;0.0;0.0;0.0;0.3431556715684778
620.0;0.0;1.0;1.0;1.0;0.16213239418732828;0.6630524038461538;0.0;0.0;3.3725961538461537;0.0;0.0;0.0;0.0;0.3263463956805376
620.0;0.0;1.0;1.0;1.0;0.30724554319357633;0.6371101604278075;0.0;0.0;3.2406417112299466;0.0;0.0;0.0;0.0;0.33478584200303185
620.0;0.0;1.0;1.0;1.0;0.45418906385137314;0.6076727272727274;0.0;0.0;3.090909090909091;0.0;0.0;0.0;0.0;0.31497641043229535
620.0;0.0;1.0;1.0;1.0;0.13010624224909004;0.6655729166666666;0.0;0.0;3.385416666666667;0.0;0.0;0.0;0.0;0.328430637717247
620.0;0.0;1.0;1.0;1.0;0.8029413807372484;0.6389500000000001;0.0;0.0;3.25;0.0;0.0;0.0;0.0;0.35146888664790565
620.0;0.0;1.0;1.0;1.0;0.28823536744414;0.6276076923076923;0.0;0.0;3.1923076923076925;0.0;0.0;0.0;0.0;0.2949732908835778
620.0;0.0;1.0;1.0;1.0;0.20816998759854477;0.6225666666666667;0.0;0.0;3.166666666666667;0.0;0.0;0.0;0.0;0.268357460697492
620.0;0.0;1.0;1.0;1.0;0.281029483258037;0.5873425;0.0;0.0;2.9875;0.0;0.0;0.0;0.0;0.2879538178443909
620.0;0.0;1.0;1.0;1.0;0.05551199669294526;0.5067911111111111;0.0;0.0;2.5777777777777775;0.0;0.0;0.0;0.0;0.20680413643519086
620.0;0.0;1.0;1.0;1.0;0.37470597767738234;0.52099;0.0;0.0;2.65;0.0;0.0;0.0;0.0;0.23407160639762878
620.0;0.0;1.0;1.0;1.0;0.16653599007883652;0.4456266666666666;0.0;0.0;2.2666666666666666;0.0;0.0;0.0;0.0;0.17490011850992837
